Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1428.33,2.59,1750.88,67.92,97.17,85,2,0,44.81000900268555,1
2,Training,1557.95,3.00,2061.62,72.64,86.79,23,7,0,14.917098760604858,1
3,Training,1096.9,2.17,1596.89,82.08,92.45,30,0,0,11.441094636917114,1
4,Training,1174.38,2.50,1609.9,85.85,93.4,30,0,0,11.316440105438232,1
5,Training,1134.31,2.61,1551.9,85.85,92.45,30,0,0,11.650684833526611,1
6,Training,1071.91,2.65,1437.12,86.79,95.28,30,0,0,11.825281143188477,1
7,Training,1290.04,3.24,1744.27,81.13,89.62,30,0,0,11.555583477020264,1
8,Training,1115.52,2.79,1563.73,86.79,94.34,30,0,0,11.619872570037842,1
9,Training,1317.19,3.05,1740.68,80.19,92.45,30,0,0,12.208953142166138,1
10,Training,1245.02,2.71,1647.69,81.13,92.45,29,1,0,11.39407730102539,1
11,Training,1047.77,2.11,1330.15,87.74,95.28,30,0,0,11.096621990203857,1
12,Training,979.37,1.94,1253.12,88.68,96.23,30,0,0,11.93200421333313,1
13,Training,838.37,1.69,1072.96,93.4,99.06,30,0,0,11.763296127319336,1
14,Training,970.18,2.09,1352.24,88.68,96.23,29,1,0,3373.472902536392,1
15,Training,965.37,2.06,1366.58,86.79,96.23,30,0,0,11.020937442779541,1
