Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,2784.6,7.76,2816.33,0.0,66.67,193,0,0,65.40048742294312,1
2,Inferencing,4180.74,11.49,4272.94,0.0,8.33,19,1,0,6.104412078857422,1
3,Inferencing,2151.53,5.82,2473.32,50.0,75.0,19,0,1,31.95268726348877,4
4,Inferencing,2853.69,7.26,2957.64,16.67,41.67,19,1,0,6.912713527679443,4
5,Inferencing,2271.48,4.82,2634.03,33.33,58.33,19,0,1,32.53938961029053,4
6,Inferencing,2623.34,5.61,2671.49,16.67,75.0,20,0,0,1.482226848602295,4
7,Inferencing,3762.75,7.99,3945.09,8.33,16.67,20,0,0,2.6216254234313965,4
8,Inferencing,4916.62,9.36,5284.85,8.33,25.0,19,0,1,11.472222328186035,5
9,Inferencing,1239.09,2.31,1405.91,91.67,100.0,20,0,0,5.539820194244385,4
10,Inferencing,2090.4,4.06,2281.23,41.67,91.67,20,0,0,1.5657219886779785,4
11,Inferencing,1137.32,2.21,1240.12,91.67,100.0,20,0,0,1.7503044605255127,4
12,Inferencing,2870.07,5.88,3141.92,25.0,50.0,20,0,0,1.5273950099945068,4
13,Inferencing,2129.07,4.30,2355.81,41.67,83.33,20,0,0,3.249225378036499,4
14,Inferencing,1358.99,2.79,1569.34,75.0,100.0,20,0,0,2.153209924697876,4
15,Inferencing,837.29,1.74,1000.65,100.0,100.0,20,0,0,1.5170378684997559,4
16,Inferencing,797.27,1.71,916.02,100.0,100.0,20,0,0,1.299644947052002,4
17,Inferencing,3045.91,6.45,3186.55,25.0,41.67,20,0,0,1.3642942905426025,4
18,Inferencing,3289.72,6.79,3709.69,25.0,50.0,20,0,0,2.564222574234009,4
19,Inferencing,2513.9,6.07,2912.59,41.67,58.33,20,0,0,2.5007030963897705,4
20,Inferencing,2574.89,5.56,3048.27,41.67,41.67,20,0,0,1.6060218811035156,4
21,Inferencing,4305.05,8.34,4475.0,8.33,16.67,20,0,0,1.5953295230865479,4
22,Inferencing,2077.43,3.72,2710.13,57.14,71.43,20,0,0,2.487483024597168,4
