Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1506.68,2.71,2032.46,77.36,83.96,87,0,0,43.47008156776428,1
2,Training,1460.03,2.63,1993.24,77.36,84.91,4,0,0,2.0369954109191895,1
3,Training,1401.37,2.54,1928.82,79.25,85.85,4,0,0,1.952542781829834,1
4,Training,1328.54,2.45,1817.56,81.13,89.62,4,0,0,1.8000173568725586,1
5,Training,1386.74,2.63,1891.66,78.3,88.68,4,0,0,1.869741439819336,1
6,Training,1418.76,2.70,1904.81,73.58,89.62,4,0,0,1.9050233364105225,1
7,Training,1417.31,2.71,1895.53,72.64,89.62,4,0,0,1.8061134815216064,1
8,Training,1443.27,2.76,1908.01,71.7,89.62,4,0,0,1.9074528217315674,1
9,Training,1429.97,2.74,1903.74,71.7,89.62,4,0,0,1.8654406070709229,1
10,Training,1430.46,2.74,1903.01,72.64,89.62,4,0,0,1.8271279335021973,1
11,Training,1436.76,2.76,1898.98,73.58,88.68,4,0,0,1.8434007167816162,1
12,Training,1432.71,2.78,1863.06,73.58,90.57,4,0,0,1.828026533126831,1
13,Training,1429.07,2.79,1824.7,70.75,91.51,4,0,0,1.8622698783874512,1
14,Training,1452.52,2.88,1857.92,68.87,88.68,4,0,0,1.8675589561462402,1
15,Training,1252.27,2.49,1647.41,81.13,94.34,3,0,1,14.146399736404419,4
16,Training,968.36,1.95,1385.86,88.68,95.28,2,1,1,64.76798892021179,6
17,Training,890.71,1.83,1287.0,94.34,97.17,2,1,1,101.24798464775085,9
18,Training,840.89,1.74,1176.16,95.28,97.17,4,0,0,89.06916546821594,9
19,Training,838.49,1.75,1186.23,94.34,97.17,4,0,0,88.39528393745422,9
20,Training,782.16,1.65,1110.31,94.34,97.17,4,0,0,83.7190272808075,9
21,Training,2977.96,6.20,3522.82,41.51,54.72,2,2,0,50.7725567817688,5
22,Training,1670.22,3.66,2314.21,66.04,85.85,4,0,0,4.356456279754639,4
23,Training,1449.12,3.29,2080.18,80.19,85.85,3,1,0,1.811617136001587,4
24,Training,1392.53,3.20,2006.02,80.19,84.91,4,0,0,1.7143220901489258,4
25,Training,1375.69,3.20,1955.8,77.36,84.91,4,0,0,1.723766565322876,4
26,Training,1255.5,2.92,1737.98,79.25,91.51,3,1,0,3.988816738128662,4
27,Training,1378.84,3.31,2027.58,76.42,88.68,3,1,0,2.4515750408172607,4
28,Training,1519.25,3.70,2196.26,76.42,83.96,4,0,0,1.8720240592956543,4
29,Training,1632.41,4.02,2346.94,72.64,76.42,4,0,0,1.741515874862671,4
30,Training,1694.82,4.18,2418.84,66.98,74.53,4,0,0,1.779994010925293,4
31,Training,1701.25,4.21,2438.7,66.04,74.53,4,0,0,1.683454990386963,4
32,Training,1754.7,4.35,2472.47,65.09,74.53,3,1,0,1.7846744060516357,4
33,Training,1628.3,4.12,2195.15,66.04,73.58,2,0,2,68.46635723114014,9
34,Training,1712.45,4.36,2256.42,62.26,72.64,4,0,0,69.95811033248901,9
