Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,5303.62,15.05,5479.56,0.0,0.0,193,0,0,51.97931432723999,1
2,Inferencing,5129.13,14.40,5157.24,0.0,0.0,4,0,0,1.0326733589172363,1
3,Inferencing,3024.42,8.14,3043.1,0.0,50.0,4,0,0,1.0337135791778564,1
4,Inferencing,4202.89,11.40,4291.42,0.0,25.0,4,0,0,1.0350065231323242,1
5,Inferencing,4334.43,11.94,4422.14,0.0,0.0,4,0,0,1.0448033809661865,1
6,Inferencing,4166.57,11.68,4176.62,0.0,0.0,4,0,0,1.049043893814087,1
7,Inferencing,1335.79,3.63,1504.37,75.0,100.0,4,0,0,1.052450180053711,1
8,Inferencing,1388.33,3.69,1712.56,75.0,100.0,4,0,0,1.0523326396942139,1
9,Inferencing,2650.77,7.20,2689.85,25.0,100.0,4,0,0,1.0685698986053467,1
10,Inferencing,551.56,1.48,685.84,100.0,100.0,4,0,0,1.06223726272583,1
11,Inferencing,857.97,2.24,926.57,100.0,100.0,4,0,0,1.0668017864227295,1
12,Inferencing,7014.7,15.43,7148.3,0.0,0.0,4,0,0,1.0545754432678223,1
13,Inferencing,3050.64,6.54,3700.18,50.0,50.0,4,0,0,1.052133560180664,1
14,Inferencing,2996.73,6.41,3255.45,25.0,50.0,4,0,0,1.0417141914367676,1
15,Inferencing,3687.97,7.70,3745.53,0.0,25.0,4,0,0,1.062483310699463,1
16,Inferencing,1391.01,2.94,1523.05,75.0,100.0,4,0,0,1.128800630569458,1
17,Inferencing,414.4,0.88,591.85,100.0,100.0,4,0,0,1.0560765266418457,1
18,Inferencing,851.72,1.88,1045.22,100.0,100.0,4,0,0,1.045276403427124,1
19,Inferencing,1341.0,2.94,1366.79,100.0,100.0,3,1,0,1.1091489791870117,1
20,Inferencing,389.99,0.84,431.12,100.0,100.0,4,0,0,1.0567164421081543,1
21,Inferencing,2392.89,4.81,2599.97,25.0,50.0,4,0,0,1.0631554126739502,1
22,Inferencing,3186.73,6.13,3208.59,0.0,25.0,4,0,0,1.2131526470184326,1
23,Inferencing,587.98,1.15,655.03,100.0,100.0,4,0,0,1.1053965091705322,1
24,Inferencing,3985.19,7.30,4175.65,0.0,25.0,4,0,0,1.0540239810943604,1
25,Inferencing,1652.9,3.09,1680.25,75.0,100.0,4,0,0,1.0535972118377686,1
26,Inferencing,1137.76,2.10,1575.64,75.0,100.0,4,0,0,1.0426177978515625,1
27,Inferencing,2059.14,3.79,2242.09,50.0,75.0,4,0,0,1.0363495349884033,1
28,Inferencing,438.97,0.84,502.07,100.0,100.0,4,0,0,1.054126262664795,1
29,Inferencing,470.48,0.91,536.64,100.0,100.0,4,0,0,1.1113262176513672,1
