Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,5591.93,15.39,6203.82,7.69,26.92,188,4,1,96.76366686820984,4
2,Inferencing,3279.42,8.29,3515.91,19.23,34.62,25,0,1,86.28638434410095,6
3,Inferencing,1582.35,3.36,1878.54,61.54,88.46,25,0,1,228.42594695091248,9
4,Inferencing,3835.72,7.31,4138.86,15.38,34.62,26,0,0,295.7230348587036,8
5,Inferencing,1134.14,2.20,1478.2,76.92,96.15,26,0,0,223.2915391921997,6
6,Inferencing,1381.69,2.82,1755.41,73.08,88.46,26,0,0,218.98833537101746,6
7,Inferencing,1585.11,3.25,1926.19,80.77,80.77,26,0,0,220.64369654655457,6
8,Inferencing,953.57,2.00,1213.16,88.46,96.15,26,0,0,220.47195148468018,6
9,Inferencing,2694.77,6.11,3201.53,38.46,65.38,26,0,0,223.0790364742279,6
10,Inferencing,5412.22,10.07,6057.81,4.0,16.0,26,0,0,222.355384349823,6
