Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,5014.75,13.91,5078.68,0.0,0.0,185,0,0,79.26948928833008,1
2,Inferencing,1951.07,4.47,3225.39,76.92,76.92,26,0,0,8.69048547744751,1
3,Inferencing,3613.67,7.76,3738.9,3.85,23.08,26,0,0,9.765970230102539,1
4,Inferencing,3601.46,6.99,3788.3,3.85,42.31,26,0,0,9.26620364189148,1
5,Inferencing,995.62,1.89,1270.99,84.62,96.15,26,0,0,9.398240566253662,1
6,Inferencing,1205.09,2.43,1460.64,84.62,96.15,26,0,0,9.631587266921997,1
7,Inferencing,1378.93,2.84,1614.1,76.92,96.15,26,0,0,7.899638414382935,1
8,Inferencing,1142.18,2.43,1359.0,92.31,100.0,26,0,0,8.774141788482666,1
9,Inferencing,3034.9,6.94,3754.04,50.0,61.54,26,0,0,8.175819158554077,1
10,Inferencing,2989.5,5.72,3296.9,12.0,72.0,26,0,0,9.021172285079956,1
