Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,4982.98,10.15,5066.12,0.0,0.0,134,0,0,60.76236414909363,1
2,Outlier,5390.89,12.81,5437.5,0.0,0.0,26,0,0,10.868175029754639,1
3,Outlier,4619.99,12.12,4668.55,0.0,0.0,26,0,0,10.950381994247437,1
4,Outlier,4420.3,10.63,4536.23,0.0,0.0,26,0,0,11.033100605010986,1
5,Outlier,4491.51,10.15,4541.74,0.0,0.0,26,0,0,10.950133800506592,1
6,Outlier,4155.49,9.70,4223.88,0.0,0.0,26,0,0,10.895954608917236,1
7,Outlier,4553.34,9.76,4579.38,0.0,0.0,26,0,0,10.998433589935303,1
8,Outlier,4903.81,10.06,4915.96,0.0,0.0,26,0,0,11.24616551399231,1
9,Outlier,4924.0,10.21,4930.59,0.0,0.0,26,0,0,10.927772760391235,1
10,Outlier,4672.62,9.52,4679.04,0.0,0.0,26,0,0,11.175729513168335,1
11,Outlier,4325.23,8.07,4342.15,0.0,0.0,26,0,0,10.771207094192505,1
12,Outlier,6172.18,14.29,6397.88,0.0,0.0,26,0,0,9.649944543838501,1
