Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,1654.69,3.43,2508.06,75.0,83.33,83,0,0,25.204481840133667,1
2,Inferencing,3101.67,6.52,3534.16,41.67,50.0,12,0,0,3.771437644958496,1
3,Inferencing,800.95,1.60,987.48,91.67,100.0,12,0,0,4.181823253631592,1
4,Inferencing,2166.25,4.47,2304.61,25.0,91.67,12,0,0,4.282310962677002,1
5,Inferencing,6162.34,14.27,6699.98,0.0,8.33,12,0,0,4.5162787437438965,1
6,Inferencing,6684.63,15.51,6775.66,0.0,0.0,11,0,1,42.49434685707092,4
7,Inferencing,6311.9,15.02,6617.07,0.0,0.0,8,4,0,42.35858106613159,4
8,Inferencing,8638.07,21.94,8664.17,0.0,0.0,8,4,0,25.13496208190918,4
9,Inferencing,9863.37,27.40,9959.12,0.0,0.0,2,10,0,36.998438358306885,4
10,Inferencing,5885.83,16.30,5956.56,0.0,0.0,2,10,0,66.0725998878479,4
11,Inferencing,5586.31,15.43,5631.49,0.0,0.0,12,0,0,5.235733270645142,4
12,Inferencing,3945.44,10.58,3981.23,0.0,0.0,12,0,0,5.22385311126709,4
13,Inferencing,3874.67,8.92,4364.97,8.33,58.33,12,0,0,5.3075830936431885,4
14,Inferencing,6793.16,14.46,6905.22,0.0,0.0,11,0,1,25.519042491912842,4
15,Inferencing,917.49,2.01,1098.64,91.67,100.0,11,0,1,39.54336881637573,4
16,Inferencing,2772.43,5.60,3506.02,50.0,58.33,12,0,0,1.7912249565124512,4
17,Inferencing,917256.06,1723.58,1107510.81,0.0,0.0,12,0,0,2.753685235977173,4
