Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1600.09,2.89,1956.7,69.61,90.2,83,0,0,31.663995504379272,1
2,Training,1606.92,2.92,1935.52,67.65,89.22,4,0,0,1.7870910167694092,1
3,Training,1593.81,2.91,1931.81,66.67,86.27,4,0,0,1.8868553638458252,1
4,Training,1619.23,2.99,1978.76,63.73,87.25,4,0,0,1.960367202758789,1
5,Training,1508.17,2.83,1989.1,75.49,90.2,2,2,0,15.946746110916138,1
6,Training,1603.31,3.03,2141.91,71.57,84.31,4,0,0,2.17610764503479,1
7,Training,1706.69,3.24,2218.57,69.61,76.47,4,0,0,2.2042794227600098,1
8,Training,1741.09,3.31,2222.17,62.75,79.41,4,0,0,1.9955823421478271,1
9,Training,1775.23,3.38,2211.66,59.8,78.43,4,0,0,1.9948766231536865,1
10,Training,1776.55,3.39,2195.19,60.78,79.41,4,0,0,2.225686550140381,1
11,Training,1774.22,3.40,2180.96,61.76,81.37,4,0,0,2.327570915222168,1
12,Training,1753.24,3.38,2183.94,63.73,82.35,4,0,0,2.075639247894287,1
13,Training,1735.67,3.38,2204.85,65.69,79.41,4,0,0,2.111914873123169,1
14,Training,1818.98,3.57,2315.99,65.69,77.45,4,0,0,2.290050506591797,1
15,Training,1870.25,3.71,2396.99,60.78,78.43,4,0,0,2.0709643363952637,1
16,Training,1516.69,3.07,2018.67,74.51,89.22,2,2,0,21.539822340011597,1
17,Training,1753.44,3.64,2357.35,73.53,85.29,0,4,0,2.444662094116211,1
18,Training,1521.19,3.16,1928.84,74.51,91.18,4,0,0,2.324963331222534,1
19,Training,1030.64,2.14,1374.95,88.24,97.06,4,0,0,2.4718191623687744,1
20,Training,977.14,2.05,1299.82,90.2,97.06,4,0,0,2.3891403675079346,1
21,Training,937.77,1.98,1212.53,91.18,98.04,4,0,0,2.041490077972412,1
22,Training,1036.99,2.24,1331.65,86.27,98.04,4,0,0,2.246142864227295,1
23,Training,1043.49,2.28,1331.15,86.27,97.06,4,0,0,2.015864610671997,1
24,Training,1029.68,2.28,1334.57,84.31,98.04,4,0,0,1.9873247146606445,1
25,Training,1014.96,2.28,1331.82,84.31,97.06,4,0,0,1.9995696544647217,1
